11:(66, 66, 536, 422)
12:(66, 422, 536, 778)
13:(66, 778, 536, 1134)
14:(536, 66, 1006, 422)
15:(536, 422, 1006, 778)
16:(536, 778, 1006, 1134)
17:(1006, 66, 1476, 422)
18:(1006, 422, 1476, 778)
19:(1006, 778, 1476, 1134)
21:(390, 390, 1174, 966)
22:(640, 602, 924, 753)
23:(490, 390, 1274, 966)
24:(390, 290, 1374, 1066)
25:(640, 590, 924, 766)
26:(400, 200, 1100, 600)
27:(400, 150, 1100, 400)
28:(400, 150, 1100, 500)
29:(400, 150, 1100, 470)
30:(400, 600, 1100, 920)
31:(550, 600, 1250, 920)
32:(630, 600, 1330, 920)
33:(350, 600, 1200, 1000)
34:(350, 700, 1200, 1000)
35:(550, 700, 1200, 1100)
36:(350, 700, 1200, 1050)
37:(630, 640, 1330, 960)
